I,F,H,G,A,T
172,172,121,Male,30,254
108,108,168,Female,30,296
9,11,127,Male,45,97
74,74,126,Male,38,264
184,184,130,Male,35,271
72,72,132,Female,26,286
73,73,112,Male,39,201
100,100,158,Male,27,45
80,80,137,Female,36,134
4,1,125,Male,31,125
1,1,77,Female,34,89
136,107,99,Female,45,255
106,106,103,Female,21,200
176,176,128,Female,26,105
188,188,109,Male,37,114
141,141,137,Female,30,212
52,32,122,Female,28,136
27,23,115,Male,53,298
200,200,128,Male,28,238
118,118,158,Female,34,237
172,75,151,Male,30,255
162,162,122,Male,32,149
29,29,147,Male,30,161
124,124,137,Female,29,86
136,136,110,Female,45,256
177,177,124,Male,46,24
197,197,144,Female,30,53
159,159,118,Male,52,120
153,153,114,Male,33,81
152,105,109,Male,34,243
7,7,125,Male,41,242
162,162,148,Female,32,147
56,56,133,Female,37,214
131,131,111,Female,24,283
84,84,133,Female,33,104
76,76,130,Male,35,36
26,26,147,Female,29,81
88,88,126,Male,44,137
104,104,108,Female,28,145
184,184,124,Male,35,273
187,53,144,Male,35,222
94,26,136,Male,39,156
22,22,125,Male,33,113
195,195,169,Male,38,256
61,61,126,Female,31,267
42,42,142,Male,54,325
29,29,148,Male,30,156
22,22,107,Female,33,109
82,82,157,Male,43,246
145,145,129,Female,26,18
24,13,154,Male,37,100
95,95,104,Male,39,208
122,122,124,Male,31,29
7,7,121,Male,41,242
194,194,84,Male,19,58
0,60,107,Female,19,227
22,22,125,Female,33,114
69,0,127,Female,39,222
83,83,129,Female,33,3
157,157,115,Male,32,83
180,180,125,Female,20,19
125,125,135,Male,23,147
60,60,138,Male,32,230
173,173,110,Male,29,153
77,77,139,Male,59,59
7,7,119,Female,41,243
158,85,165,Male,33,42
88,88,86,Male,44,142
61,61,128,Female,31,264
30,30,80,Female,35,282
123,27,98,Female,20,295
143,143,129,Female,26,301
123,123,126,Female,20,298
9,9,159,Male,45,93
165,165,127,Female,31,156
1,1,129,Female,34,92
178,178,99,Female,53,223
118,61,120,Female,34,234
98,98,107,Female,29,60
117,117,141,Male,26,106
59,59,105,Male,39,281
115,115,140,Female,30,176
64,64,92,Male,28,4
87,87,119,Female,35,217
72,27,118,Female,26,287
156,101,94,Female,37,323
130,130,155,Male,32,210
58,58,116,Male,30,265
92,92,133,Female,32,78
116,116,93,Female,25,138
137,2,139,Male,63,112
89,89,158,Male,19,164
56,56,142,Female,37,207
182,78,115,Male,30,70
67,67,85,Male,26,80
130,130,125,Male,32,213
31,31,103,Male,33,202
68,68,79,Female,46,299
49,49,127,Male,28,123
9,9,82,Male,45,105
178,178,85,Male,53,217
176,176,137,Male,26,106
78,78,127,Female,22,285
56,56,143,Female,37,203
174,174,92,Male,25,152
16,16,159,Male,38,211
72,72,106,Male,26,283
141,55,109,Female,30,205
161,161,146,Female,39,79
130,130,109,Male,32,210
37,37,117,Male,47,27
168,168,114,Male,22,197
95,95,141,Male,39,206
170,170,140,Female,31,136
106,56,129,Female,21,206
11,29,162,Female,24,190
4,56,123,Male,31,128
147,147,105,Male,24,218
49,49,114,Male,28,126
139,139,148,Male,29,82
165,165,130,Female,31,149
29,29,144,Female,30,161
166,166,122,Female,21,234
44,44,139,Male,30,246
181,181,142,Male,34,204
35,35,121,Male,42,74
10,10,118,Female,26,122
175,175,154,Male,60,313
59,59,163,Male,39,285
124,124,99,Female,29,97
170,170,115,Male,31,133
127,127,131,Male,43,87
114,114,146,Female,51,302
14,14,139,Female,41,301
116,116,72,Female,25,143
183,183,117,Female,25,183
131,131,127,Female,24,283
62,62,130,Female,44,296
91,91,114,Female,28,268
114,114,113,Female,51,299
88,88,128,Male,44,134
131,131,83,Female,24,273
93,93,137,Male,59,140
147,147,97,Female,24,224
137,137,110,Male,63,109
97,97,110,Female,34,312
15,15,119,Male,56,44
109,109,134,Male,26,124
182,182,140,Male,30,64
134,134,130,Male,30,146
12,12,114,Female,35,162
49,49,120,Male,28,118
100,100,145,Female,27,52
146,146,112,Male,29,78
175,175,120,Male,60,310
59,57,114,Female,39,290
50,50,123,Female,22,38
145,145,136,Male,26,31
190,190,107,Female,45,98
122,122,138,Male,31,23
36,36,114,Female,35,9
93,93,125,Male,59,139
146,146,137,Male,29,83
90,90,115,Female,33,96
9,9,137,Male,45,96
33,33,146,Male,36,184
196,196,121,Female,29,292
140,140,129,Female,31,213
109,109,94,Female,26,126
101,101,98,Male,20,128
174,41,105,Female,25,153
101,101,115,Male,20,117
117,117,147,Female,26,96
46,46,126,Female,27,154
120,120,111,Male,47,155
38,38,112,Female,29,34
11,2,137,Female,24,191
119,119,138,Female,49,38
37,37,130,Male,47,22
165,165,122,Female,31,147
92,92,154,Female,32,82
0,0,179,Female,59,122
187,187,164,Male,35,215
11,33,113,Female,24,187
119,119,95,Female,49,46
91,91,129,Male,28,267
170,170,137,Female,31,137
110,110,133,Male,38,39
56,1,129,Female,37,205
132,17,128,Female,30,329
50,30,88,Female,22,35
52,52,121,Female,28,136
136,136,123,Female,45,246
159,159,126,Female,52,123
56,56,111,Male,37,209
176,176,124,Female,26,110
29,29,140,Female,30,159
26,26,116,Female,29,85
132,132,116,Male,30,332
91,86,106,Female,28,266
12,12,144,Male,35,165
146,146,142,Male,29,74
135,135,111,Female,17,324
197,197,83,Female,30,51
74,74,120,Male,38,257
92,92,113,Male,32,75
146,146,136,Female,29,82
175,175,123,Male,60,319
190,190,116,Female,45,95
194,56,113,Female,19,58
116,76,125,Male,25,140
97,97,102,Male,34,316
186,186,92,Male,28,27
74,74,153,Male,38,265
145,145,114,Male,26,19
155,155,129,Male,42,104
90,90,138,Male,33,102
19,19,107,Female,45,240
88,88,133,Male,44,135
167,167,81,Male,37,223
112,112,142,Male,38,259
17,17,124,Male,23,96
66,66,121,Male,51,226
189,189,104,Male,26,156
177,177,148,Female,46,20
93,65,133,Female,59,142
103,103,127,Female,31,55
159,159,141,Female,52,121
194,194,149,Female,19,52
183,183,100,Female,25,182
160,160,102,Female,29,307
88,88,138,Male,44,134
28,28,101,Female,17,89
12,4,106,Male,35,161
97,45,104,Male,34,314
38,40,88,Female,29,40
25,25,108,Female,36,226
120,120,128,Male,47,154
161,161,141,Female,39,76
71,71,130,Male,24,283
184,184,106,Male,35,270
122,6,133,Female,31,24
140,140,138,Male,31,216
199,199,109,Male,24,179
59,59,156,Male,39,285
104,104,105,Female,28,147
133,133,178,Female,52,212
191,191,93,Female,29,254
128,128,133,Male,46,133
75,75,100,Female,36,266
66,66,125,Male,51,226
122,140,135,Male,31,27
189,189,110,Male,26,156
170,170,120,Male,31,134
140,140,130,Male,31,218
103,103,129,Female,31,55
10,10,145,Male,26,122
150,150,117,Female,23,235
126,126,118,Male,43,169
123,123,107,Male,20,299
101,101,93,Male,20,128
103,103,134,Male,31,57
42,42,154,Male,54,323
49,49,133,Male,28,123
114,114,172,Female,51,305
138,138,115,Female,27,0
128,113,153,Male,46,128
169,169,114,Male,32,63
134,127,126,Male,30,148
194,194,141,Male,19,57
185,185,109,Female,36,57
119,119,115,Female,49,41
9,9,159,Male,45,94
80,80,154,Male,36,129
39,39,103,Female,20,164
8,5,140,Female,23,119
25,17,119,Male,36,228
70,70,106,Female,34,211
36,58,125,Female,35,8
71,71,118,Female,24,288
79,79,130,Female,38,290
67,67,84,Female,26,82
13,13,113,Female,20,289
127,127,134,Female,43,89
132,132,136,Female,30,331
134,105,114,Female,30,155
171,84,125,Female,37,31
186,186,141,Male,28,21
131,131,129,Female,24,283
2,2,137,Male,20,120
165,159,103,Female,31,147
198,198,91,Male,10,302
188,188,99,Female,37,118
107,32,84,Female,35,329
44,44,129,Male,30,244
66,66,131,Male,51,220
77,45,136,Female,59,59
196,196,133,Female,29,289
150,150,95,Female,23,239
187,187,128,Female,35,214
33,78,139,Female,36,192
163,163,127,Male,26,114
85,85,94,Female,20,32
5,5,121,Male,27,65
140,140,113,Female,31,214
124,124,119,Female,29,87
146,146,107,Female,29,80
20,21,125,Female,37,109
70,70,145,Female,34,214
125,125,139,Male,23,147
184,184,125,Male,35,275
69,69,135,Male,39,225
26,26,97,Female,29,82
12,12,114,Male,35,166
165,165,132,Male,31,150
158,158,157,Male,33,39
59,59,124,Male,39,285
136,136,105,Female,45,252
27,27,128,Female,53,304
141,141,140,Male,30,202
40,40,120,Female,28,186
116,116,97,Female,25,136
68,68,126,Male,46,295
100,100,124,Female,27,50
90,90,102,Male,33,94
131,131,95,Male,24,286
165,165,124,Female,31,152
86,19,112,Female,21,203
136,136,101,Female,45,250
134,134,117,Male,30,146
182,182,122,Male,30,67
33,34,125,Female,36,187
170,170,115,Male,31,141
127,160,105,Female,43,82
108,108,105,Female,30,293
171,171,128,Male,37,29
17,17,111,Male,23,95
41,29,122,Male,30,164
185,185,126,Male,36,54
113,113,144,Female,33,155
56,56,119,Female,37,211
137,137,138,Male,63,114
46,46,87,Female,27,157
47,47,139,Male,36,21
111,111,106,Female,28,282
35,35,104,Male,42,74
106,106,81,Female,21,199
179,179,151,Female,37,255
20,20,116,Male,37,112
184,154,150,Male,35,276
181,181,137,Female,34,198
141,141,114,Male,30,200
81,79,140,Male,27,277
33,33,144,Male,36,185
24,24,163,Male,37,97
6,3,125,Female,48,192
15,7,133,Male,56,46
122,122,136,Female,31,26
116,116,109,Female,25,139
38,38,147,Female,29,35
20,20,97,Female,37,112
77,77,132,Female,59,59
143,14,121,Female,26,306
156,156,108,Female,37,315
129,129,171,Male,22,268
89,89,124,Male,19,163
192,192,140,Male,24,112
45,45,147,Male,48,285
51,47,135,Male,40,269
119,119,115,Male,49,51
144,144,104,Male,31,146
80,80,122,Female,36,126
153,153,121,Female,33,83
165,165,105,Female,31,152
145,145,118,Male,26,26
129,129,149,Female,22,267
40,41,133,Female,28,181
114,69,104,Male,51,299
84,84,118,Male,33,106
53,53,129,Female,46,103
188,188,115,Female,37,112
177,177,145,Male,46,23
100,18,153,Male,27,46
184,184,82,Female,35,268
155,155,130,Male,42,108
86,86,125,Female,21,195
85,64,95,Female,20,37
53,53,115,Female,46,95
114,114,148,Male,51,301
134,143,118,Female,30,143
115,115,118,Male,30,178
35,33,158,Female,42,79
188,188,114,Female,37,113
174,174,112,Female,25,152
90,90,123,Female,33,96
21,21,147,Female,16,212
167,167,116,Female,37,219
109,109,109,Female,26,122
55,55,129,Male,31,228
141,141,127,Female,30,197
91,91,147,Male,28,267
82,82,114,Female,43,242
191,191,142,Female,29,256
57,57,115,Female,35,183
50,50,114,Female,22,42
177,177,81,Male,46,29
153,153,122,Male,33,82
117,117,106,Female,26,104
87,45,107,Female,35,219
64,64,142,Female,28,3
80,38,130,Male,36,128
25,25,115,Male,36,232
90,90,110,Female,33,106
115,29,150,Male,30,184
81,81,140,Male,27,279
149,114,96,Female,28,278
178,16,102,Female,53,215
42,42,146,Male,54,329
152,152,132,Female,34,243
107,107,81,Female,35,333
123,54,110,Male,20,299
39,39,100,Male,20,162
141,141,124,Male,30,201
134,134,160,Female,30,146
197,37,117,Female,30,55
126,126,112,Female,43,174
57,57,107,Male,35,181
18,18,97,Female,21,231
48,48,117,Female,21,245
70,70,106,Male,34,212
56,56,156,Male,37,205
199,155,110,Male,24,176
140,140,149,Female,31,215
116,116,121,Female,25,140
167,167,111,Male,37,223
76,76,132,Male,35,38
30,30,103,Female,35,287
54,54,102,Female,22,258
157,157,122,Male,32,89
36,36,100,Female,35,10
63,63,164,Female,34,209
98,98,111,Female,29,69
80,7,143,Male,36,132
61,61,111,Female,31,260
192,41,161,Female,24,124
113,113,150,Female,33,150
145,145,142,Female,26,27
23,9,148,Male,31,303
19,8,101,Female,45,250
2,2,134,Male,20,116
85,85,97,Male,20,42
5,5,151,Male,27,72
8,8,108,Female,23,115
192,192,150,Male,24,126
92,66,160,Male,32,82
28,28,103,Female,17,93
22,16,108,Female,33,117
66,66,132,Male,51,225
16,16,128,Female,38,211
48,48,100,Male,21,243
152,152,142,Male,34,244
105,105,92,Female,39,335
112,112,124,Male,38,259
34,12,106,Female,22,201
124,124,76,Female,29,95
116,109,87,Female,25,141
9,9,131,Female,45,100
136,128,113,Female,45,246
72,72,108,Male,26,287
157,139,148,Male,32,86
129,129,126,Male,22,268
19,19,145,Male,45,253
98,98,128,Female,29,73
21,3,117,Female,16,214
79,79,144,Male,38,292
100,100,130,Male,27,44
38,38,161,Female,29,33
192,192,145,Male,24,119
39,39,122,Female,20,166
8,8,131,Female,23,114
122,122,121,Male,31,29
45,45,148,Male,48,282
92,92,140,Female,32,79
0,0,188,Female,0,157
79,79,101,Male,38,293
120,120,118,Male,47,156
139,139,128,Male,29,78
131,131,97,Female,24,279
12,12,108,Female,35,160
2,1,122,Female,20,118
62,62,144,Male,44,288
158,158,108,Female,33,46
124,124,113,Male,29,90
75,75,92,Female,36,271
29,29,118,Female,30,161
93,93,150,Female,59,138
83,83,142,Male,33,2
58,58,135,Male,30,268
198,198,72,Male,10,300
153,153,177,Female,33,88
166,166,110,Male,21,238
25,29,113,Female,36,228
200,200,130,Female,28,237
4,4,148,Male,31,122
166,166,112,Female,21,238
71,71,123,Female,24,283
173,173,124,Male,29,151
163,163,143,Female,26,128
105,88,107,Male,39,333
92,92,113,Female,32,75
186,186,123,Male,28,21
80,26,161,Male,36,133
173,173,116,Male,29,143
102,102,90,Female,23,242
178,145,112,Male,53,222
133,133,119,Male,52,207
72,53,77,Male,26,284
85,85,107,Male,20,35
12,42,148,Female,35,160
124,124,91,Male,29,83
160,160,95,Female,29,309
119,119,135,Female,49,48
30,30,99,Female,35,281
22,22,152,Female,33,118
101,101,105,Male,20,127
82,82,115,Female,43,245
3,3,153,Female,42,40
85,29,121,Female,20,36
148,129,135,Male,30,92
200,200,122,Male,28,236
28,28,123,Male,17,87
94,94,125,Female,39,173
125,125,141,Female,23,150
179,179,126,Male,37,250
59,59,161,Female,39,280
3,3,122,Female,42,41
144,144,130,Female,31,149
52,52,145,Male,28,141
14,14,123,Female,41,306
124,124,111,Male,29,82
11,11,125,Male,24,178
183,183,129,Female,25,184
127,127,96,Female,43,91
118,118,133,Female,34,234
188,91,107,Female,37,116
33,33,141,Male,36,185
165,165,132,Female,31,148
133,133,139,Male,52,208
162,162,123,Male,32,143
167,167,120,Male,37,226
33,33,139,Male,36,185
51,51,124,Male,40,267
180,180,127,Female,20,18
75,70,133,Male,36,281
40,40,124,Female,28,185
96,96,168,Female,39,146
88,88,98,Female,44,136
46,46,132,Female,27,154
76,76,139,Female,35,37
20,20,112,Male,37,110
127,127,120,Female,43,85
139,139,134,Male,29,80
41,41,121,Female,30,164
144,144,156,Male,31,144
112,112,99,Male,38,264
42,42,110,Male,54,324
182,182,122,Male,30,72
158,158,104,Male,33,39
7,7,126,Female,41,245
180,180,134,Female,20,21
16,16,107,Male,38,217
112,112,115,Male,38,260
161,198,130,Female,39,83
189,189,135,Female,26,157
26,26,112,Female,29,94
192,192,146,Male,24,120
115,115,143,Female,30,179
115,115,106,Male,30,182
55,55,138,Female,31,233
177,177,105,Male,46,24
179,179,145,Male,37,259
83,83,111,Male,33,0
174,174,113,Female,25,155
13,13,109,Male,20,295
57,57,101,Female,35,184
152,152,115,Female,34,238
176,176,133,Female,26,102
87,48,107,Female,35,216
86,7,122,Male,21,193
76,76,116,Male,35,39
19,19,107,Female,45,251
83,83,130,Female,33,2
7,7,119,Female,41,241
15,15,98,Female,56,47
57,57,117,Male,35,179
171,171,122,Male,37,27
92,67,151,Male,32,73
136,136,109,Female,45,251
139,139,144,Female,29,82
68,68,95,Male,46,302
185,185,135,Female,36,54
62,62,137,Male,44,299
9,9,152,Male,45,93
197,197,101,Male,30,53
153,153,110,Female,33,85
142,142,101,Female,40,8
187,187,115,Female,35,208
6,6,127,Male,48,186
93,93,117,Male,59,139
163,163,127,Female,26,115
50,50,120,Female,22,32
34,34,124,Female,22,194
45,45,131,Female,48,290
116,116,128,Female,25,140
83,83,132,Male,33,8
18,18,112,Male,21,236
2,0,127,Male,20,115
105,105,114,Female,39,335
130,130,146,Male,32,208
178,178,114,Male,53,222
43,43,107,Female,33,210
94,94,111,Female,39,165
128,128,150,Male,46,129
119,119,134,Female,49,47
47,47,129,Male,36,18
18,71,139,Female,21,237
145,145,170,Male,26,26
119,119,107,Female,49,52
76,76,116,Female,35,42
94,94,133,Male,39,171
24,3,124,Male,37,97
68,57,123,Female,46,306
81,81,126,Female,27,287
200,200,115,Female,28,239
149,149,129,Female,28,276
104,78,135,Male,28,145
148,148,137,Male,30,93
147,147,105,Male,24,217
133,133,140,Female,52,210
133,133,125,Male,52,213
4,95,142,Female,31,125
85,6,107,Female,20,35
34,34,177,Male,22,199
161,161,134,Male,39,76
68,68,100,Female,46,307
168,168,128,Male,22,199
95,3,111,Male,39,211
80,80,133,Male,36,126
78,78,102,Female,22,287
116,116,77,Female,25,142
131,131,105,Male,24,278
66,20,127,Female,51,218
5,5,143,Male,27,70
195,195,127,Male,38,266
147,147,87,Female,24,221
35,35,126,Male,42,72
175,175,103,Female,60,309
164,147,122,Male,32,57
164,164,121,Female,32,60
64,64,104,Male,28,2
133,133,120,Female,52,209
12,12,112,Female,35,166
180,180,110,Female,20,16
40,40,88,Male,28,186
150,41,108,Female,23,235
161,161,120,Female,39,79
187,187,128,Male,35,217
99,99,111,Female,31,91
115,12,130,Male,30,172
42,42,113,Male,54,323
71,71,109,Male,24,286
48,48,155,Female,21,242
35,35,154,Male,42,80
120,120,149,Male,47,158
84,84,133,Male,33,100
162,162,170,Female,32,146
88,88,134,Male,44,140
29,29,148,Female,30,165
50,50,84,Female,22,31
14,14,133,Female,41,302
117,117,103,Female,26,107
44,44,134,Female,30,245
77,77,127,Male,59,57
16,16,134,Male,38,212
55,55,160,Female,31,233
16,16,142,Male,38,213
22,22,122,Female,33,113
86,86,119,Female,21,198
166,166,115,Female,21,235
16,16,123,Female,38,212
62,62,132,Female,44,301
19,19,104,Female,45,258
75,75,134,Female,36,265
20,20,123,Male,37,108
196,196,128,Female,29,290
115,115,116,Male,30,177
174,174,134,Female,25,157
143,143,117,Female,26,311
86,86,122,Male,21,195
145,145,147,Male,26,21
113,113,120,Female,33,150
9,9,139,Male,45,95
166,166,109,Female,21,240
57,57,107,Male,35,183
11,30,127,Male,24,192
181,181,122,Male,34,205
164,164,121,Female,32,55
44,44,142,Female,30,243
95,95,109,Female,39,210
46,46,112,Female,27,153
155,155,138,Female,42,110
43,43,131,Male,33,210
62,62,139,Male,44,290
72,43,125,Female,26,286
36,36,114,Female,35,12
12,4,118,Female,35,164
21,31,145,Male,16,214
112,112,115,Male,38,261
79,79,126,Male,38,295
109,109,127,Female,26,124
144,144,134,Male,31,149
8,8,131,Female,23,116
105,105,81,Male,39,329
153,153,121,Female,33,81
99,99,119,Female,31,97
86,86,153,Male,21,194
111,111,92,Male,28,280
76,76,127,Male,35,30
176,176,145,Male,26,101
148,148,133,Male,30,81
125,125,121,Male,23,146
27,27,132,Male,53,308
140,140,133,Male,31,219
60,60,126,Male,32,227
131,131,90,Female,24,284
17,17,110,Male,23,93
116,116,120,Male,25,143
46,62,131,Male,27,155
63,63,128,Male,34,203
52,52,129,Female,28,142
182,182,127,Male,30,67
156,156,125,Female,37,314
115,115,131,Male,30,179
137,137,120,Male,63,111
10,167,139,Male,26,120
93,93,118,Male,59,139
72,72,101,Female,26,282
118,118,143,Male,34,233
153,153,136,Male,33,78
176,176,165,Female,26,109
80,80,139,Male,36,130
11,11,105,Male,24,184
130,130,146,Male,32,211
162,162,126,Male,32,152
44,44,104,Female,30,241
169,169,111,Male,32,71
9,9,127,Male,45,105
121,158,113,Female,28,204
199,199,157,Male,24,178
187,76,139,Male,35,215
10,10,150,Male,26,123
138,138,151,Female,27,3
134,134,136,Male,30,141
101,101,114,Female,20,122
62,62,116,Male,44,301
186,186,172,Female,28,19
82,82,133,Female,43,241
109,109,117,Male,26,127
139,139,138,Male,29,84
53,53,117,Female,46,96
25,25,122,Female,36,229
59,59,132,Male,39,282
159,159,124,Female,52,118
104,157,142,Female,28,148
30,30,73,Male,35,282
26,22,114,Female,29,81
167,167,102,Female,37,223
36,36,114,Female,35,11
142,146,123,Female,40,14
43,43,106,Female,33,208
105,105,107,Female,39,333
120,120,110,Male,47,155
17,17,138,Male,23,98
3,14,160,Male,42,47
44,19,123,Male,30,241
91,91,155,Male,28,267
124,124,106,Female,29,87
152,152,125,Male,34,237
149,149,98,Female,28,282
9,9,120,Male,45,92
181,181,143,Male,34,201
165,165,95,Female,31,156
191,191,93,Female,29,260
94,94,123,Male,39,164
77,77,108,Female,59,63
75,23,115,Male,36,270
197,49,103,Male,30,44
55,55,102,Male,31,230
113,113,95,Male,33,152
132,132,135,Male,30,330
105,105,131,Female,39,335
42,42,124,Male,54,318
0,0,50,Male,74,28
101,101,133,Male,20,123
63,63,113,Male,34,210
80,80,111,Male,36,133
149,63,114,Female,28,278
84,84,116,Female,33,97
115,6,154,Male,30,178
87,87,98,Female,35,212
178,178,93,Female,53,222
5,5,122,Male,27,75
5,56,130,Male,27,77
117,117,134,Male,26,106
7,7,167,Female,41,245
139,139,142,Male,29,84
192,192,102,Male,24,127
131,131,116,Female,24,278
189,189,116,Male,26,156
159,159,117,Female,52,125
80,80,102,Female,36,128
88,88,126,Male,44,133
29,30,114,Male,30,156
181,48,110,Male,34,201
98,98,153,Male,29,67
138,138,132,Male,27,1
181,181,132,Male,34,204
179,179,128,Male,37,252
50,50,123,Female,22,36
78,78,102,Female,22,289
200,200,132,Male,28,235
127,127,127,Male,43,86
145,145,147,Male,26,22
62,62,148,Female,44,297
190,190,134,Female,45,101
37,37,116,Female,47,30
87,87,106,Female,35,213
119,98,113,Female,49,40
53,53,132,Female,46,92
2,2,134,Male,20,119
144,144,162,Female,31,145
194,194,137,Male,19,56
200,200,160,Male,28,238
166,166,113,Male,21,233
114,114,137,Female,51,301
200,200,118,Female,28,236
59,59,123,Male,39,279
188,188,122,Female,37,114
25,25,130,Female,36,230
74,74,166,Female,38,262
34,34,138,Male,22,201
35,35,118,Male,42,73
73,73,95,Male,39,201
70,70,106,Male,34,212
5,65,130,Female,27,75
1,5,119,Male,34,89
26,26,97,Female,29,86
139,139,135,Male,29,80
97,97,85,Female,34,313
124,124,110,Female,29,90
86,86,153,Male,21,198
90,5,123,Male,33,97
77,77,172,Male,59,63
84,84,108,Female,33,101
168,168,118,Male,22,196
141,141,96,Female,30,205
69,69,119,Male,39,238
31,31,94,Female,33,195
0,0,130,Male,19,172
75,75,104,Female,36,269
30,30,85,Female,35,282
5,22,138,Female,27,74
72,72,88,Male,26,283
124,16,100,Female,29,88
76,76,125,Male,35,37
116,116,108,Female,25,136
89,89,134,Female,19,165
104,104,132,Male,28,149
4,10,124,Male,31,123
73,73,105,Male,39,202
25,25,158,Female,36,227
135,135,122,Female,17,317
23,23,138,Male,31,301
13,4,151,Female,20,302
18,18,122,Female,21,231
1,5,123,Female,34,94
200,200,152,Male,28,238
10,67,148,Male,26,126
173,173,143,Male,29,147
67,73,107,Female,26,73
53,22,121,Male,46,94
178,21,124,Female,53,217
5,47,142,Male,27,75
46,46,124,Male,27,160
87,87,132,Female,35,212
79,79,150,Male,38,297
194,194,147,Female,19,62
28,28,118,Female,17,87
165,165,118,Male,31,149
78,78,81,Male,22,291
102,102,117,Male,23,241
145,145,140,Male,26,23
88,88,105,Male,44,138
65,65,137,Male,40,204
77,77,156,Male,59,62
199,199,120,Male,24,186
167,167,98,Female,37,220
45,45,163,Male,48,288
120,120,148,Male,47,156
96,96,147,Male,39,143
95,95,146,Female,39,205
121,121,149,Female,28,203
18,18,121,Female,21,231
92,92,126,Female,32,78
136,136,105,Male,45,258
127,127,154,Female,43,91
179,179,123,Male,37,256
82,82,116,Female,43,237
152,152,143,Female,34,236
63,63,138,Female,34,200
134,134,113,Female,30,141
148,148,123,Male,30,85
88,88,137,Male,44,138
14,14,109,Male,41,294
69,80,89,Male,39,221
133,133,146,Male,52,211
36,36,101,Male,35,12
25,25,130,Female,36,231
181,181,131,Male,34,199
198,198,98,Female,10,299
118,118,137,Female,34,236
142,142,113,Female,40,0
45,45,146,Male,48,288
142,142,110,Female,40,11
49,49,136,Male,28,119
138,138,133,Male,27,0
8,8,131,Female,23,116
78,78,100,Female,22,282
8,91,145,Female,23,112
146,146,95,Female,29,85
27,27,135,Female,53,311
61,61,116,Female,31,261
90,90,130,Male,33,93
66,44,137,Male,51,226
141,141,112,Male,30,204
194,194,131,Female,19,64
191,191,101,Female,29,254
53,53,126,Male,46,95
70,70,137,Female,34,208
180,180,93,Male,20,24
70,70,142,Male,34,203
138,138,100,Female,27,2
157,157,151,Male,32,86
100,100,159,Female,27,47
177,177,143,Female,46,29
7,7,128,Male,41,235
2,2,138,Male,20,114
124,124,86,Female,29,88
123,123,119,Female,20,299
70,70,112,Male,34,206
117,117,112,Male,26,102
174,174,103,Female,25,153
42,42,156,Female,54,321
146,146,160,Female,29,86
126,126,100,Male,43,171
54,54,119,Female,22,262
102,102,123,Female,23,253
93,93,134,Male,59,140
175,175,119,Male,60,314
7,11,109,Male,41,238
106,106,102,Male,21,201
21,21,168,Male,16,213
194,98,120,Female,19,60
34,34,139,Male,22,193
25,55,102,Male,36,229
128,128,122,Male,46,129
96,96,92,Female,39,148
148,85,148,Male,30,90
57,57,156,Female,35,178
120,120,136,Female,47,164
93,93,134,Male,59,144
153,125,112,Female,33,84
23,1,129,Male,31,303
44,44,152,Female,30,250
12,12,142,Female,35,161
27,27,109,Male,53,302
78,78,114,Female,22,289
109,109,103,Female,26,122
60,60,129,Female,32,228
68,15,74,Female,46,301
41,41,122,Male,30,168
102,102,129,Male,23,244
76,76,142,Male,35,41
108,41,123,Female,30,297
2,16,118,Male,20,118
137,137,109,Female,63,109
172,172,107,Female,30,249
145,81,132,Male,26,22
29,29,112,Female,30,159
174,19,118,Female,25,145
105,105,127,Male,39,334
27,27,128,Male,53,307
29,29,144,Male,30,156
99,99,61,Female,31,90
29,29,149,Male,30,166
166,166,138,Female,21,238
193,193,107,Female,25,31
198,198,111,Female,10,301
157,24,140,Male,32,88
176,176,158,Male,26,114
155,155,135,Female,42,102
157,157,122,Male,32,88
174,174,115,Female,25,152
164,164,86,Female,32,54
110,110,137,Male,38,39
36,36,137,Female,35,9
183,183,112,Female,25,187
67,67,136,Male,26,79
192,192,149,Male,24,116
74,74,115,Female,38,265
22,22,132,Female,33,107
51,51,139,Male,40,264
114,114,148,Male,51,298
71,71,120,Female,24,282
32,32,113,Male,41,272
6,6,165,Female,48,185
187,187,139,Male,35,210
137,137,130,Male,63,115
102,102,130,Male,23,244
92,92,147,Male,32,75
39,39,125,Male,20,166
172,172,115,Male,30,256
164,164,124,Female,32,56
30,28,98,Female,35,288
190,190,111,Female,45,98
138,138,124,Male,27,4
55,55,134,Male,31,226
69,69,109,Female,39,223
163,163,149,Female,26,119
50,50,135,Female,22,33
180,180,136,Female,20,23
178,178,98,Male,53,224
117,117,146,Male,26,99
41,41,163,Male,30,169
185,185,99,Female,36,55
139,139,167,Male,29,84
154,57,118,Female,35,7
129,129,142,Female,22,268
18,18,137,Female,21,235
58,58,128,Female,30,263
120,120,147,Female,47,156
24,24,136,Male,37,96
53,53,121,Female,46,95
91,91,114,Female,28,267
26,26,118,Female,29,88
133,133,138,Male,52,207
158,31,145,Female,33,39
100,100,152,Male,27,47
175,175,145,Female,60,313
127,127,98,Female,43,84
137,137,168,Male,63,107
87,87,119,Male,35,212
37,37,122,Female,47,22
96,96,104,Female,39,150
31,31,125,Female,33,204
11,11,158,Female,24,185
111,78,133,Male,28,278
53,72,109,Male,46,89
64,64,129,Female,28,4
135,135,109,Female,17,318
191,191,116,Male,29,253
193,193,146,Female,25,35
135,135,119,Male,17,323
150,150,95,Female,23,236
96,25,109,Female,39,140
47,8,137,Male,36,28
